com.moling.buyu10002.lenovo,1.0.6,60,145272,19518523,4.6,30万次安装,捕鱼变态版，多人对战赢话费！,1002,益智.休闲,0,0,0,0,0,1,0,1,0,0,0,1,0,1,65,0,,,,,15,,,,,29,
com.PopBlast.org,1.3.0,20150424,95832,5241300,3.0,大于5千次安装,,1002,益智.休闲,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,1479,,,,
com.yx,3.6.2,3620,51929,27106518,4.0,769万次安装,有信，明明白白免话费了,1026,短信.通讯,0,0,0,0,0,0,0,1,0,0,0,1,0,2,771,0,309,87,,,,,,,,,134
com.devuni.flashlight,5.4,202114,98145,2131303,3.7,1265万次安装,从此夜路不怕黑，界面简单大方，好用又方便。,1034,实用.工具,0,0,0,0,0,0,0,1,0,0,0,1,0,2,333,0,18,63,,,,,,,,,106
com.letkov.td.game,2.01,15,52619,47575785,3.0,大于100次安装,,1022,塔防.策略,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,,,,,,,1186,,,,
royalw.dream.linkup,2.3.13,25,51758,2456102,3.0,4万次安装,超梦幻超漂亮界面的连连看.,1002,益智.休闲,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,,,,,,,565,,,,
org.dayup.gnotes,1.0.10,1011,132327,3972583,4.8,4万次安装,做安卓最好的笔记应用,1056,商务.职场,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,,,1311,,,,,,,,
com.icloudzone.CrazyGrandpa,1.3.3,303,42500,7401998,3.8,272万次安装,刺激好玩的跑酷游戏，主角是个老爷爷,1018,跑酷.动作,0,0,0,0,0,0,1,1,0,0,0,1,0,1,145,0,,,,,,,186,76,,,289
com.eg.android.AlipayGphone,8.6.0.040305,76,41472,35049615,3.1,8846万次安装,支付宝钱包，会赚钱的钱包！,1054,理财.金融,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2062,0,402,7,6,,,,,,3,,25
com.jingdong.app.reader,2.0.4,204,31261,15613144,4.4,55万次安装,让您随时随地享受阅读的乐趣,1052,新闻.阅读,0,0,0,0,0,0,0,1,0,0,0,1,0,2,16,0,123,703,,,,,,,,,1050
com.up91.pocket,2.2.27,57,11047,4359350,4.1,8万次安装,专为高中生打造的免费学习软件,1058,考试.学习,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,,1171,,,,,,,,,
com.sina.mobile.blog,1.0,1,2282,342459,2.9,8万次安装,最主流、最具人气的博客频道.,1028,聊天.社交,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,0,1008,,,,,,,,,,
com.ea.games.simsfreeplay_na,5.11.0,5011003,42500,13746020,3.8,138万次安装,创造不同性格的人物开始演绎精彩人生,1010,经营.养成,0,0,0,0,0,0,1,0,0,1,0,1,0,1,625,0,,,,,,,132,143,,,552
com.nd.android.pandareader,6.36,6360,139522,6195366,3.4,668万次安装,强大的本地阅读功能，打发公交地铁无聊时光！,1052,新闻.阅读,0,0,0,0,0,0,0,0,0,0,0,1,0,2,109,0,122,,,,,,,,,,
air.korea.KoreaPronounce,1.0.0,1000000,52619,1450444,3.7,13万次安装,,1058,考试.学习,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,,,,,,,,,,,1113
com.wowocall,4.0.9,4090,87705,5004705,3.0,41万次安装,价格低廉 使用方便#灵活多样#是您拨打国际国内长途的好伴侣。,1068,其他应用,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,858,,,,,,,,,,
com.letv.letvshop,1.1.7,117,36262,6049698,3.7,2万次安装,智能硬件第一电商平台,1042,生活.购物,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,,,289,,,,,,,,
fund123.com.client2,5.6.0,104,18152,10363778,4.7,36万次安装, 全球首发电商大数据基金-“博时淘金100”,1054,理财.金融,0,0,0,0,0,0,0,0,0,0,0,1,0,2,90,0,,663,1552,,,,,,,,986
com.chinat2t16280wc.templte,1.2,3,52616,2671892,3.0,大于100次安装,,1042,生活.购物,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1290,,,,,,,,,,
com.skygame3.sh_lianxiangle,3.7.0_CN.AN.LE,11,119225,73056287,3.4,28万次安装,2014年3D震撼巨作《水浒英雄》大片级盛宴-V3.5.0版本全新上映！,2025,网游,0,0,0,0,0,1,0,0,0,0,0,1,0,1,42,0,,,,,,,181,,,,
com.studioeleven.windfinder,1.9.2,31,52608,5122394,3.0,106万次安装,,1068,其他应用,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,,,,,,,761,,,,
com.game,1.0.0,1,94722,6084765,2.6,8万次安装,韩式地下城塔防战,1022,塔防.策略,0,0,0,0,0,1,0,0,0,0,0,1,0,1,8,0,,,,,,,387,,,,
co.andriy.tradeaccounting,1.88,88,52612,1763140,3.0,大于5千次安装,,1068,其他应用,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,1337,,,,
com.moleader.neiy,1.0,1,94722,3705634,2.6,13万次安装,,1018,跑酷.动作,0,0,0,0,0,1,0,0,0,0,0,1,0,1,11,0,,,,,,,406,,,,
com.ampclhibius.zombieinvasion,5.4.13,2015041310,72044,19634272,4.1,6万次安装,全新恐怖惊悚游戏，快点开始你的冒险之旅吧,1002,益智.休闲,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,,,,,,,,1545,,,
com.lz.activity,2.3.1,32,48757,2312047,3.8,41万次安装,上闻道，新鲜的资讯，权威的新闻，随时随地，由您掌控。,1052,新闻.阅读,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,692,,,,,,,,,,
com.movier.crazy,2.1.1,18,70666,43444049,4.9,7万次安装,看剧照，猜电影，将疯狂进行到底。,1002,益智.休闲,0,0,0,0,0,0,1,0,0,0,0,0,0,1,748,0,,,,,,,268,,,,
com.bendroid.mystique1,1.4,22,52616,2537278,2.3,8万次安装,神秘仪式三部曲第一部，经典的鬼屋游戏，不容错过。,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,,,,,,,,1392,,,
com.ezone.Snowboard,1.1,11,40148,24576585,4.4,22万次安装,,1006,体育.竞速,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,,,,,,,,649,,,
